id,sentiment_negative,sentiment_neutral,sentiment_positive,topic_id,topic_probability,predicted_behavior,source,score,engagement,keyword_count
429,0.008641156367957592,0.15573985874652863,0.8356189131736755,1,0.9176997553281332,purchase_intent,youtube,0,0,1
430,0.0035995186772197485,0.01621735654771328,0.9801831245422363,13,0.06111957905310323,purchase_intent,youtube,0,0,1
431,0.47251901030540466,0.36291027069091797,0.16457076370716095,13,0.07607451606612602,passive_browsing,youtube,0,0,1
432,0.42012280225753784,0.4314746558666229,0.14840248227119446,13,0.8497537967994697,passive_browsing,youtube,0,0,1
438,0.0038308408111333847,0.031953442841768265,0.9642156958580017,1,0.873649354641237,purchase_intent,youtube,0,0,5
442,0.14173802733421326,0.6688129305839539,0.18944905698299408,13,1.0,passive_browsing,youtube,0,0,1
443,0.002584942150861025,0.025359902530908585,0.972055196762085,-1,0.0,purchase_intent,youtube,0,0,2
444,0.00527911214157939,0.13700731098651886,0.8577135801315308,1,0.9345097810483813,purchase_intent,youtube,0,0,4
565,0.004051634576171637,0.008649383671581745,0.9872990250587463,0,1.0,purchase_intent,youtube,0,0,1
567,0.05131387710571289,0.3429926037788391,0.605693519115448,-1,0.0,passive_browsing,youtube,4,0,2
575,0.0037903401535004377,0.019797256216406822,0.9764124155044556,0,0.9657640090845291,purchase_intent,youtube,1,0,2
588,0.041071996092796326,0.9201173782348633,0.03881056606769562,0,1.0,passive_browsing,youtube,0,1,1
589,0.009651928208768368,0.9395194053649902,0.050828732550144196,13,0.865580467066941,passive_browsing,youtube,1,0,1
594,0.02205539681017399,0.9395797848701477,0.03836479410529137,0,1.0,passive_browsing,youtube,0,1,2
599,0.05808958038687706,0.7202757000923157,0.2216346710920334,3,0.491837530121611,passive_browsing,youtube,0,1,1
610,0.7678661942481995,0.21896971762180328,0.013164062052965164,-1,0.0,churn_risk,youtube,0,1,3
611,0.0057590133510529995,0.016110209748148918,0.9781307578086853,0,0.9610470834015069,purchase_intent,youtube,0,0,1
613,0.004649928770959377,0.016468441113829613,0.9788815975189209,0,0.7417512979596024,purchase_intent,youtube,1,1,1
616,0.005653848871588707,0.6810575723648071,0.31328850984573364,0,0.49422133471777235,passive_browsing,youtube,1,0,2
619,0.0037819661665707827,0.02122347429394722,0.9749945998191833,13,0.03892684939628718,purchase_intent,youtube,0,0,1
625,0.005264492239803076,0.8626495599746704,0.132085919380188,0,1.0,passive_browsing,youtube,268,28,1
627,0.002964249812066555,0.03474009782075882,0.9622955918312073,0,0.7274656565266961,purchase_intent,youtube,269,1,1
629,0.0036025161389261484,0.020502224564552307,0.9758952260017395,0,0.851086076664398,purchase_intent,youtube,110,1,1
631,0.0043474603444337845,0.024541767314076424,0.9711107611656189,0,1.0,purchase_intent,youtube,371,2,1
632,0.00534539669752121,0.01715872809290886,0.9774959087371826,0,1.0,purchase_intent,youtube,132,1,1
633,0.017918286845088005,0.1356627196073532,0.8464189767837524,0,0.8008464061226754,purchase_intent,youtube,16,1,1
634,0.005274760536849499,0.013582845218479633,0.9811424612998962,0,0.6568395702636338,purchase_intent,youtube,18,1,1
635,0.006708119530230761,0.034986987709999084,0.9583048820495605,0,1.0,purchase_intent,youtube,125,5,1
640,0.0031079964246600866,0.010093994438648224,0.9867979884147644,0,1.0,purchase_intent,youtube,11,1,1
641,0.004275110550224781,0.03172653913497925,0.9639983773231506,0,0.7768136711673893,purchase_intent,youtube,5,1,2
643,0.0038406967651098967,0.009887279942631721,0.9862719774246216,0,1.0,purchase_intent,youtube,9,1,1
645,0.0023269534576684237,0.008746492676436901,0.9889265298843384,-1,0.0,purchase_intent,youtube,7,1,1
