id,post_cid,post_uri,text,author_handle,like_count,repost_count,reply_count,created_at,query_used,collected_at,source
167,bafyreig2qd53ipfh43ccgb5cmfiqhtdyfqinwp3y2bqkxfrnbcy7yzonm4,at://did:plc:fgomiqv5zm26ubqoa6d6astk/app.bsky.feed.post/3m52puyjmdk2n,I know I am privileged to be able to shop at Ocado in this economy but if I ever start sounding like the guy in this mouthwash review please put me down immediately,tainkirrahe.bsky.social,6,0,1,2025-11-08 02:36:32.277000,product review purchase,2026-06-02 18:36:12.531064,bluesky
168,bafyreibghbuvcnan3pn45gytntbzbfaapkhz45suq5o7lnszabwlp4uunm,at://did:plc:g3ui3bli3u3wylncllnlwbe2/app.bsky.feed.post/3m4lmh33iik2d,"Want to join in the celebration? Purchase a copy here and, of course, read and drop a review! DM me if you’d like a personalized signed copy complete with stickers and magnet!

www.uapress.com/product/thes...",avitusbcarle.bsky.social,0,0,1,2025-11-02 02:24:57.113000,product review purchase,2026-06-02 18:36:12.531064,bluesky
169,bafyreie5o73mztohhbts2hprn535l7hkiyujqqas7u42udb2rkeb6ttree,at://did:plc:iyu7dbmhpwvnluwsj2ahnpxw/app.bsky.feed.post/3m4e6gri5nc2j,"My favorite review I've run across so far this week ends with

""Although I wouldn’t recommend this to a friend, I’d be comfortable recommending it to an enemy. I’m going to use Costco’s return policy for this purchase,

No, I do not recommend this product.""",kg.luminance.org,3,0,0,2025-10-30 03:25:47.282000,product review purchase,2026-06-02 18:36:12.531064,bluesky
170,bafyreidh4yu755ugasz55gggu4g3ael5g23s4aggj4euocgboyvfqa3spe,at://did:plc:zjxvw2ugdwzygncuzr43rhbd/app.bsky.feed.post/3m47zacxiok2t,@brutalmoose.com I’ve personally been swayed by your wonderful advertisement to purchase the Hello Fresh product for myself and/or my family. Not a paid review. 👍,jeffpennington.art,3,0,1,2025-10-28 11:42:03.064000,product review purchase,2026-06-02 18:36:12.531064,bluesky
171,bafyreifalzvsaah7yrskvsyegrrr5xyr3vb7zsbdsj2dqruajgf4duosum,at://did:plc:sgoxvcaizltgekedoj4zeuly/app.bsky.feed.post/3m47syvefza2s,"Casetta Opens First Hotel Outside California: Hotel Willa Taos Review

https://www.newsbeep.com/us-ca/26356/

If you purchase an independently reviewed product or service through a link on our website, The Hollywood Reporter…",us-ca-nb.bsky.social,0,0,0,2025-10-28 09:50:27.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
172,bafyreic5obr2i4dni4kwftgahwnevha4liegsyx2xlm53clhraqk5wcck4,at://did:plc:bdxsmo45j4xaznsfeuun574q/app.bsky.feed.post/3m46ffcgyzs23,"If this place folds, I'm definitely going to shitpost reviews at Walmart.",jimstewart.bsky.social,16,6,1,2025-10-27 20:14:15.711000,product review purchase,2026-06-02 18:36:12.531064,bluesky
173,bafyreifsep3b2xewroxndhvfj7parzcub7quvntr3ptn6z6cirvwesp43m,at://did:plc:s7s6xmsxt33k7qp6k4vr7zem/app.bsky.feed.post/3m3i5n37wq22t,"#FacebookNews O Christine, you sweet summer child",jenbren.bsky.social,18,2,0,2025-10-18 23:56:52.396000,product review purchase,2026-06-02 18:36:12.531064,bluesky
174,bafyreieojcr72tt2pecscgbuvhicuhq67dhddolmsyruqzwd4td7ohe6mu,at://did:plc:tsd6elfnz2pcgqzptsyxcw6g/app.bsky.feed.post/3m3c3wwevdk2d,"If you try to review Little Eric's book on Amazon, you get this warning 😆 

Amazon has noticed unusual reviewing activity on this product. Due to this activity, we have limited this product to verified purchase reviews.",pugmom333.bsky.social,0,0,0,2025-10-16 14:10:36.959000,product review purchase,2026-06-02 18:36:12.531064,bluesky
175,bafyreif3rrqpaeguv6ififonvzkqx25dtd4nshqjzwpbr2j6iokdl33vbi,at://did:plc:ov6ksblbmitfo45xyfia4nk7/app.bsky.feed.post/3m3ainpdlc22d,"So the guy who raised a bunch of money for chatgpt necklaces, and who spent it all on owning the url for friend dot com did not wind up having a winning product, BUT, he knows the key to success is to pretend all press is good press!",jsthrill.modphi.com,8,0,1,2025-10-15 22:52:46.740000,product review purchase,2026-06-02 18:36:12.531064,bluesky
176,bafyreigy3twoqgidqmn3kxgun6zloomxlehdvqmrnulsktg6iai3ad2oai,at://did:plc:kgrwlmfbbjwdohza3nmfhdla/app.bsky.feed.post/3m2usf6cr5a22,"Onto Innovation Inc. removed a product line from its planned deal to purchase a materials analysis business from Semilab International after the DOJ requested additional information to review the merger, reducing the purchase price to $495 million.",law360.bsky.social,0,0,0,2025-10-11 07:15:00.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
